,,,,,,pause
sw2519A-ms98-a-0018,A.25,63.52275,63.89275,want,0.37,
sw2519B-ms98-a-0018,B.26,63.814,64.39875,[silence],0.58475,4
sw2519A-ms98-a-0018,A.25,63.89275,64.02275,you,0.13,
sw2519A-ms98-a-0018,A.25,64.02275,64.27275,know,0.25,
sw2519A-ms98-a-0018,A.27,64.27275,64.31225,[silence],0.0395,2
sw2519A-ms98-a-0019,A.27,64.31225,64.60225,[silence],0.29,4
sw2519B-ms98-a-0018,B.26,64.39875,64.543625,Um,0.144875,
sw2519B-ms98-a-0018,B.26,64.543625,64.86675,um,0.323125,
sw2519A-ms98-a-0019,A.27,64.60225,64.76225,and,0.16,
sw2519A-ms98-a-0019,A.27,64.76225,64.87225,at,0.11,
sw2519B-ms98-a-0018,B.28,64.86675,65.243625,[silence],0.376875,4
sw2519A-ms98-a-0019,A.27,64.87225,64.95225,the,0.08,
sw2519A-ms98-a-0019,A.27,64.95225,65.20225,end,0.25,
sw2519A-ms98-a-0019,A.27,65.20225,65.28225,of,0.08,
sw2519B-ms98-a-0019,B.28,65.243625,69.244,[silence],4.000375,4
sw2519A-ms98-a-0019,A.27,65.28225,65.34225,the,0.06,
sw2519A-ms98-a-0019,A.27,65.34225,65.82225,semester,0.48,
sw2519A-ms98-a-0019,A.27,65.82225,65.95225,you,0.13,
sw2519A-ms98-a-0019,A.27,65.95225,66.11225,go,0.16,
sw2519A-ms98-a-0019,A.27,66.11225,66.40225,back,0.29,
sw2519A-ms98-a-0019,A.27,66.40225,66.60225,in,0.2,
sw2519A-ms98-a-0019,A.27,66.60225,66.76225,and,0.16,
sw2519A-ms98-a-0019,A.27,66.76225,67.01225,your,0.25,
sw2519A-ms98-a-0019,A.27,67.01225,67.20225,like,0.19,
sw2519A-ms98-a-0019,A.27,67.20225,67.30225,your,0.1,
sw2519A-ms98-a-0019,A.27,67.30225,67.75225,final,0.45,
sw2519A-ms98-a-0019,A.27,67.75225,68.32725,exam,0.575,
sw2519A-ms98-a-0019,A.27,68.32725,68.575875,[silence],0.248625,2
sw2519A-ms98-a-0019,A.27,68.575875,68.70225,is,0.126375,
sw2519A-ms98-a-0019,A.27,68.70225,68.76225,a,0.06,
sw2519A-ms98-a-0019,A.27,68.76225,69.00225,three,0.24,
sw2519A-ms98-a-0019,A.27,69.00225,69.27225,mile,0.27,
sw2519B-ms98-a-0020,B.28,69.244,69.739125,[silence],0.495125,4
sw2519A-ms98-a-0019,A.27,69.27225,69.67225,walk,0.4,
sw2519A-ms98-a-0019,A.29,69.67225,69.80225,And,0.13,
sw2519B-ms98-a-0020,B.28,69.739125,70.1815,Oh,0.442375,
sw2519A-ms98-a-0019,A.29,69.80225,69.91225,if,0.11,
sw2519A-ms98-a-0019,A.29,69.91225,70.00225,you,0.09,
sw2519A-ms98-a-0019,A.29,70.00225,70.30225,walk,0.3,
sw2519B-ms98-a-0020,B.30,70.1815,70.540375,[silence],0.358875,4
sw2519A-ms98-a-0019,A.29,70.30225,70.45225,it,0.15,
sw2519A-ms98-a-0019,A.29,70.45225,70.53225,in,0.08,
sw2519A-ms98-a-0019,A.29,70.53225,70.72225,this,0.19,
sw2519B-ms98-a-0021,B.30,70.540375,71.601125,[silence],1.06075,4
sw2519A-ms98-a-0019,A.29,70.72225,70.89225,many,0.17,
sw2519A-ms98-a-0019,A.29,70.89225,71.21225,minutes,0.32,
sw2519A-ms98-a-0019,A.29,71.21225,71.284875,you,0.072625,
sw2519A-ms98-a-0019,A.29,71.284875,71.37375,get,0.088875,
sw2519A-ms98-a-0019,A.29,71.37375,71.460375,an,0.086625,
sw2519A-ms98-a-0019,A.29,71.460375,71.87225,A,0.411875,
sw2519B-ms98-a-0022,B.30,71.601125,72.021125,[silence],0.42,4
sw2519A-ms98-a-0019,A.29,71.87225,72.04225,this,0.17,
sw2519B-ms98-a-0022,B.30,72.021125,72.514125,Uh-huh,0.493,
sw2519A-ms98-a-0019,A.29,72.04225,72.22225,many,0.18,
sw2519A-ms98-a-0019,A.29,72.22225,72.54225,minutes,0.32,
sw2519B-ms98-a-0022,B.34,72.514125,72.832,[silence],0.317875,4
sw2519A-ms98-a-0019,A.29,72.54225,72.60225,you,0.06,
sw2519A-ms98-a-0019,A.29,72.60225,72.82225,get,0.22,
sw2519A-ms98-a-0019,A.29,72.82225,72.85225,a,0.03,
sw2519B-ms98-a-0023,B.34,72.832,74.6205,[silence],1.7885,4
sw2519A-ms98-a-0019,A.29,72.85225,73.08225,B,0.23,
sw2519A-ms98-a-0019,A.31,73.08225,73.126,[silence],0.04375,2
sw2519A-ms98-a-0020,A.31,73.126,73.374375,[silence],0.248375,2
sw2519A-ms98-a-0020,A.31,73.374375,73.446,and,0.071625,
sw2519A-ms98-a-0020,A.31,73.446,73.506,I,0.06,
sw2519A-ms98-a-0020,A.31,73.506,73.686,thought,0.18,
sw2519A-ms98-a-0020,A.31,73.686,73.736,oh,0.05,
sw2519A-ms98-a-0020,A.31,73.736,73.906,this,0.17,
sw2519A-ms98-a-0020,A.31,73.906,73.996,will,0.09,
sw2519A-ms98-a-0020,A.31,73.996,74.12375,be,0.12775,
sw2519A-ms98-a-0020,A.31,74.12375,74.306,---,0.18225,
sw2519A-ms98-a-0020,A.31,74.306,74.386,an,0.08,
sw2519A-ms98-a-0020,A.31,74.386,74.616,easy,0.23,
sw2519A-ms98-a-0020,A.31,74.616,75.095,class,0.479,
sw2519B-ms98-a-0024,B.34,74.6205,75.0415,[silence],0.421,2
sw2519B-ms98-a-0024,B.34,75.0415,75.9825,[laughter],0.941,
sw2519A-ms98-a-0020,A.33,75.095,75.299625,[silence],0.204625,2
sw2519A-ms98-a-0020,A.33,75.299625,75.378625,and,0.079,
sw2519A-ms98-a-0020,A.33,75.378625,75.554125,you,0.1755,
sw2519A-ms98-a-0020,A.33,75.554125,75.682125,know,0.128,
sw2519A-ms98-a-0020,A.33,75.682125,75.803,and,0.120875,
sw2519A-ms98-a-0020,A.33,75.803,76.005,I,0.202,
sw2519B-ms98-a-0024,B.34,75.9825,76.05125,[silence],0.06875,4
sw2519A-ms98-a-0020,A.33,76.005,76.231375,did,0.226375,
sw2519B-ms98-a-0025,B.34,76.05125,76.62125,[silence],0.57,4
sw2519A-ms98-a-0020,A.33,76.231375,76.47025,it,0.238875,
sw2519A-ms98-a-0020,A.33,76.47025,76.61475,and,0.1445,
sw2519A-ms98-a-0020,A.33,76.61475,76.74275,---,0.128,
sw2519B-ms98-a-0025,B.34,76.62125,77.26125,---,0.64,
sw2519A-ms98-a-0020,A.33,76.74275,76.936,I,0.19325,
sw2519A-ms98-a-0020,A.33,76.936,77.146,did,0.21,
sw2519A-ms98-a-0020,A.33,77.146,77.256,it,0.11,
sw2519A-ms98-a-0020,A.33,77.256,77.346,for,0.09,
sw2519B-ms98-a-0025,B.34,77.26125,77.74475,[silence],0.4835,4
sw2519A-ms98-a-0020,A.33,77.346,77.386,a,0.04,
sw2519A-ms98-a-0020,A.33,77.386,77.626,long,0.24,
sw2519A-ms98-a-0020,A.33,77.626,78.036,time,0.41,
sw2519B-ms98-a-0026,B.34,77.74475,80.98925,[silence],3.2445,4
sw2519A-ms98-a-0020,A.33,78.036,78.196,like,0.16,
sw2519A-ms98-a-0020,A.33,78.196,78.536,about,0.34,
sw2519A-ms98-a-0020,A.33,78.536,78.606,the,0.07,
sw2519A-ms98-a-0020,A.33,78.606,78.866,middle,0.26,
sw2519A-ms98-a-0020,A.33,78.866,78.946,of,0.08,
sw2519A-ms98-a-0020,A.33,78.946,79.016,the,0.07,
sw2519A-ms98-a-0020,A.33,79.016,79.616,semester,0.6,
sw2519A-ms98-a-0020,A.33,79.616,79.666,I,0.05,
sw2519A-ms98-a-0020,A.33,79.666,79.816,ended,0.15,
sw2519A-ms98-a-0020,A.33,79.816,79.916,up,0.1,
sw2519A-ms98-a-0020,A.33,79.916,80.03625,having,0.12025,
sw2519A-ms98-a-0020,A.33,80.03625,80.081375,to,0.045125,
sw2519A-ms98-a-0020,A.33,80.081375,80.276,have,0.194625,
sw2519A-ms98-a-0020,A.33,80.276,80.606,surgery,0.33,
sw2519A-ms98-a-0020,A.33,80.606,80.706,on,0.1,
sw2519A-ms98-a-0020,A.33,80.706,80.816,my,0.11,
sw2519A-ms98-a-0020,A.33,80.816,81.386,foot,0.57,
sw2519B-ms98-a-0027,B.34,80.98925,81.47925,[silence],0.49,4
sw2519A-ms98-a-0020,A.35,81.386,81.476,and,0.09,
sw2519A-ms98-a-0020,A.35,81.476,81.596,this,0.12,
sw2519B-ms98-a-0027,B.34,81.47925,81.983875,Oh,0.504625,
sw2519A-ms98-a-0020,A.35,81.596,81.716,has,0.12,
sw2519A-ms98-a-0020,A.35,81.716,81.846,been,0.13,
sw2519A-ms98-a-0020,A.35,81.846,81.896,a,0.05,
sw2519A-ms98-a-0020,A.35,81.896,82.126,couple,0.23,
sw2519B-ms98-a-0027,B.34,81.983875,83.005,no,1.021125,
sw2519A-ms98-a-0020,A.35,82.126,82.186,of,0.06,
sw2519A-ms98-a-0020,A.35,82.186,82.456,years,0.27,
sw2519A-ms98-a-0020,A.35,82.456,82.872625,ago,0.416625,
sw2519A-ms98-a-0020,A.37,82.872625,82.914875,[silence],0.04225,2
sw2519A-ms98-a-0021,A.37,82.914875,83.254875,[silence],0.34,4
sw2519B-ms98-a-0027,B.36,83.005,83.47925,Uh-huh,0.47425,
sw2519A-ms98-a-0021,A.37,83.254875,83.584875,and,0.33,
sw2519B-ms98-a-0027,B.38,83.47925,84.0075,[silence],0.52825,4
sw2519A-ms98-a-0021,A.37,83.584875,83.684875,you,0.1,
sw2519A-ms98-a-0021,A.37,83.684875,83.8165,know,0.131625,
sw2519A-ms98-a-0021,A.37,83.8165,83.9495,I,0.133,
sw2519A-ms98-a-0021,A.37,83.9495,84.057125,had,0.107625,
sw2519B-ms98-a-0028,B.38,84.0075,87.003875,[silence],2.996375,4
sw2519A-ms98-a-0021,A.37,84.057125,84.156375,---,0.09925,
sw2519A-ms98-a-0021,A.37,84.156375,84.351375,---,0.195,
sw2519A-ms98-a-0021,A.37,84.351375,84.4785,I,0.127125,
sw2519A-ms98-a-0021,A.37,84.4785,84.691625,[vocalized-noise],0.213125,
sw2519A-ms98-a-0021,A.37,84.691625,84.884875,did,0.19325,
sw2519A-ms98-a-0021,A.37,84.884875,85.104875,that,0.22,
sw2519A-ms98-a-0021,A.37,85.104875,85.214875,and,0.11,
sw2519A-ms98-a-0021,A.37,85.214875,85.274875,I,0.06,
sw2519A-ms98-a-0021,A.37,85.274875,85.794875,just,0.52,
sw2519A-ms98-a-0021,A.37,85.794875,85.944875,ended,0.15,
sw2519A-ms98-a-0021,A.37,85.944875,86.014875,up,0.07,
sw2519A-ms98-a-0021,A.37,86.014875,86.194875,having,0.18,
sw2519A-ms98-a-0021,A.37,86.194875,86.264875,to,0.07,
sw2519A-ms98-a-0021,A.37,86.264875,86.564875,drop,0.3,
sw2519A-ms98-a-0021,A.37,86.564875,86.624875,the,0.06,
sw2519A-ms98-a-0021,A.37,86.624875,87.134875,class,0.51,
sw2519B-ms98-a-0029,B.38,87.003875,87.44875,[silence],0.444875,4
sw2519A-ms98-a-0021,A.39,87.134875,87.194875,you,0.06,
sw2519A-ms98-a-0021,A.39,87.194875,87.284875,know,0.09,
sw2519A-ms98-a-0021,A.39,87.284875,87.364875,by,0.08,
sw2519A-ms98-a-0021,A.39,87.364875,87.444875,the,0.08,
sw2519A-ms98-a-0021,A.39,87.444875,87.694875,time,0.25,
sw2519B-ms98-a-0029,B.38,87.44875,88.073875,Oh,0.625125,
sw2519A-ms98-a-0021,A.39,87.694875,87.754875,the,0.06,
sw2519A-ms98-a-0021,A.39,87.754875,88.074875,final,0.32,
sw2519B-ms98-a-0029,B.40,88.073875,88.4905,[silence],0.416625,4
sw2519A-ms98-a-0021,A.39,88.074875,88.264875,came,0.19,
sw2519A-ms98-a-0021,A.39,88.264875,88.584875,around,0.32,
sw2519B-ms98-a-0030,B.40,88.4905,90.15,[silence],1.6595,4
sw2519A-ms98-a-0021,A.39,88.584875,88.624875,I,0.04,
sw2519A-ms98-a-0021,A.39,88.624875,88.924875,wasn't,0.3,
sw2519A-ms98-a-0021,A.39,88.924875,89.124875,even,0.2,
sw2519A-ms98-a-0021,A.39,89.124875,89.234875,where,0.11,
sw2519A-ms98-a-0021,A.39,89.234875,89.274875,I,0.04,
sw2519A-ms98-a-0021,A.39,89.274875,89.414875,could,0.14,
sw2519A-ms98-a-0021,A.39,89.414875,89.594875,wear,0.18,
sw2519A-ms98-a-0021,A.39,89.594875,89.654875,a,0.06,
sw2519A-ms98-a-0021,A.39,89.654875,90.154875,shoe,0.5,
sw2519B-ms98-a-0031,B.40,90.15,90.34,[silence],0.19,4
sw2519A-ms98-a-0021,A.39,90.154875,90.504875,yet,0.35,
sw2519B-ms98-a-0031,B.40,90.34,90.81,Oh,0.47,
sw2519A-ms98-a-0021,A.41,90.504875,90.604875,let,0.1,
sw2519A-ms98-a-0021,A.41,90.604875,90.904875,alone,0.3,
sw2519B-ms98-a-0031,B.40,90.81,91.494875,no,0.684875,
sw2519A-ms98-a-0021,A.41,90.904875,91.124875,walk,0.22,
sw2519A-ms98-a-0021,A.41,91.124875,91.364875,three,0.24,
sw2519A-ms98-a-0021,A.41,91.364875,91.834875,miles,0.47,
sw2519B-ms98-a-0031,B.42,91.494875,91.886625,[silence],0.39175,4
sw2519A-ms98-a-0021,A.41,91.834875,91.934875,you,0.1,
sw2519B-ms98-a-0031,B.42,91.886625,92.54,Yeah,0.653375,
sw2519A-ms98-a-0021,A.41,91.934875,92.224,know,0.289125,
sw2519A-ms98-a-0021,A.43,92.224,92.60425,[silence],0.38025,4
sw2519B-ms98-a-0031,B.44,92.54,93.154125,[silence],0.614125,4
sw2519A-ms98-a-0022,A.43,92.60425,92.63425,[silence],0.03,2
sw2519A-ms98-a-0022,A.43,92.63425,92.76425,But,0.13,
sw2519A-ms98-a-0022,A.43,92.76425,92.927625,that,0.163375,
sw2519A-ms98-a-0022,A.43,92.927625,93.064625,was,0.137,
sw2519A-ms98-a-0022,A.43,93.064625,93.2245,the,0.159875,
sw2519B-ms98-a-0032,B.44,93.154125,96.70175,[silence],3.547625,4
sw2519A-ms98-a-0022,A.43,93.2245,93.52425,only,0.29975,
sw2519A-ms98-a-0022,A.43,93.52425,93.82425,time,0.3,
sw2519A-ms98-a-0022,A.43,93.82425,93.94425,I,0.12,
sw2519A-ms98-a-0022,A.43,93.94425,94.06425,have,0.12,
sw2519A-ms98-a-0022,A.43,94.06425,94.26425,ever,0.2,
sw2519A-ms98-a-0022,A.43,94.26425,94.39425,been,0.13,
sw2519A-ms98-a-0022,A.43,94.39425,94.59425,able,0.2,
sw2519A-ms98-a-0022,A.43,94.59425,94.65425,to,0.06,
sw2519A-ms98-a-0022,A.43,94.65425,94.81425,like,0.16,
sw2519A-ms98-a-0022,A.43,94.81425,95.09425,start,0.28,
sw2519A-ms98-a-0022,A.43,95.09425,95.16425,an,0.07,
sw2519A-ms98-a-0022,A.43,95.16425,95.66425,exercise,0.5,
sw2519A-ms98-a-0022,A.43,95.66425,96.01425,program,0.35,
sw2519A-ms98-a-0022,A.43,96.01425,96.12425,and,0.11,
sw2519A-ms98-a-0022,A.43,96.12425,96.31425,really,0.19,
sw2519A-ms98-a-0022,A.43,96.31425,96.76425,stick,0.45,
sw2519B-ms98-a-0033,B.44,96.70175,97.17175,[silence],0.47,4
sw2519A-ms98-a-0022,A.43,96.76425,96.90425,to,0.14,
sw2519A-ms98-a-0022,A.43,96.90425,97.23425,it,0.33,
sw2519B-ms98-a-0033,B.44,97.17175,97.36175,Um,0.19,
sw2519A-ms98-a-0022,A.45,97.23425,97.58025,[silence],0.346,4
sw2519B-ms98-a-0033,B.44,97.36175,97.653375,um,0.291625,
sw2519A-ms98-a-0023,A.45,97.58025,97.60025,[silence],0.02,2
sw2519A-ms98-a-0023,A.45,97.60025,97.89025,because,0.29,
sw2519B-ms98-a-0033,B.46,97.653375,98.018875,[silence],0.3655,4
sw2519A-ms98-a-0023,A.45,97.89025,98.07025,then,0.18,
sw2519B-ms98-a-0034,B.46,98.018875,101.319875,[silence],3.301,4
sw2519A-ms98-a-0023,A.45,98.07025,98.15025,I,0.08,
sw2519A-ms98-a-0023,A.45,98.15025,98.60025,had,0.45,
sw2519A-ms98-a-0023,A.45,98.60025,98.85025,to,0.25,
sw2519A-ms98-a-0023,A.45,98.85025,98.94025,I,0.09,
sw2519A-ms98-a-0023,A.45,98.94025,99.15025,had,0.21,
sw2519A-ms98-a-0023,A.45,99.15025,99.24025,to,0.09,
sw2519A-ms98-a-0023,A.45,99.24025,99.51025,go,0.27,
sw2519A-ms98-a-0023,A.45,99.51025,99.85025,every,0.34,
sw2519A-ms98-a-0023,A.45,99.85025,100.17025,week,0.32,
sw2519A-ms98-a-0023,A.45,100.17025,100.32025,and,0.15,
sw2519A-ms98-a-0023,A.45,100.32025,100.63025,log,0.31,
sw2519A-ms98-a-0023,A.45,100.63025,100.88025,in,0.25,
sw2519A-ms98-a-0023,A.45,100.88025,101.04025,what,0.16,
sw2519A-ms98-a-0023,A.45,101.04025,101.12025,I,0.08,
sw2519A-ms98-a-0023,A.45,101.12025,101.28025,had,0.16,
sw2519A-ms98-a-0023,A.45,101.28025,101.73025,walked,0.45,
sw2519B-ms98-a-0035,B.46,101.319875,101.829875,[silence],0.51,4
sw2519A-ms98-a-0023,A.47,101.73025,101.82025,and,0.09,
sw2519A-ms98-a-0023,A.47,101.82025,101.91025,my,0.09,
sw2519B-ms98-a-0035,B.46,101.829875,102.699375,Right,0.8695,
sw2519A-ms98-a-0023,A.47,101.91025,102.28025,teacher,0.37,
sw2519A-ms98-a-0023,A.47,102.28025,102.55025,looked,0.27,
sw2519A-ms98-a-0023,A.47,102.55025,102.68025,at,0.13,
sw2519A-ms98-a-0023,A.47,102.68025,102.77025,it,0.09,
sw2519B-ms98-a-0035,B.48,102.699375,103.1195,[silence],0.420125,4
sw2519A-ms98-a-0023,A.47,102.77025,102.98025,every,0.21,
sw2519A-ms98-a-0023,A.47,102.98025,103.35025,week,0.37,
sw2519B-ms98-a-0036,B.48,103.1195,103.4495,[silence],0.33,4
sw2519A-ms98-a-0023,A.47,103.35025,103.45025,---,0.1,
sw2519B-ms98-a-0036,B.48,103.4495,103.9555,Uh-huh,0.506,
sw2519A-ms98-a-0023,A.47,103.45025,103.51025,---,0.06,
sw2519A-ms98-a-0023,A.47,103.51025,103.58025,---,0.07,
sw2519A-ms98-a-0023,A.47,103.58025,103.71025,you,0.13,
sw2519A-ms98-a-0023,A.47,103.71025,104.04025,know,0.33,
sw2519B-ms98-a-0036,B.50,103.9555,104.32575,[silence],0.37025,4
sw2519A-ms98-a-0023,A.49,104.04025,104.276625,[silence],0.236375,2
sw2519A-ms98-a-0024,A.49,104.276625,104.536625,[silence],0.26,4
sw2519B-ms98-a-0037,B.50,104.32575,107.801375,[silence],3.475625,4
sw2519A-ms98-a-0024,A.49,104.536625,104.736625,But,0.2,
sw2519A-ms98-a-0024,A.49,104.736625,104.986625,other,0.25,
sw2519A-ms98-a-0024,A.49,104.986625,105.126625,than,0.14,
sw2519A-ms98-a-0024,A.49,105.126625,105.426625,that,0.3,
sw2519A-ms98-a-0024,A.49,105.426625,105.516625,I,0.09,
sw2519A-ms98-a-0024,A.49,105.516625,105.826625,just,0.31,
sw2519A-ms98-a-0024,A.49,105.826625,105.936625,you,0.11,
sw2519A-ms98-a-0024,A.49,105.936625,106.3045,know,0.367875,
sw2519A-ms98-a-0024,A.49,106.3045,106.38725,[silence],0.08275,1
sw2519A-ms98-a-0024,A.49,106.38725,106.502,I,0.11475,
sw2519A-ms98-a-0024,A.49,106.502,106.696625,kind,0.194625,
sw2519A-ms98-a-0024,A.49,106.696625,106.766625,of,0.07,
sw2519A-ms98-a-0024,A.49,106.766625,106.896625,get,0.13,
sw2519A-ms98-a-0024,A.49,106.896625,106.956625,in,0.06,
sw2519A-ms98-a-0024,A.49,106.956625,107.026625,the,0.07,
sw2519A-ms98-a-0024,A.49,107.026625,107.306625,mood,0.28,
sw2519A-ms98-a-0024,A.49,107.306625,107.476625,every,0.17,
sw2519A-ms98-a-0024,A.49,107.476625,107.746625,once,0.27,
sw2519A-ms98-a-0024,A.49,107.746625,107.816625,in,0.07,
sw2519B-ms98-a-0038,B.50,107.801375,108.251375,[silence],0.45,4
sw2519A-ms98-a-0024,A.49,107.816625,108.106625,awhile,0.29,
sw2519A-ms98-a-0024,A.49,108.106625,108.306625,say,0.2,
sw2519B-ms98-a-0038,B.50,108.251375,108.741375,Uh-huh,0.49,
sw2519A-ms98-a-0024,A.51,108.306625,108.636625,okay,0.33,
sw2519A-ms98-a-0024,A.51,108.636625,108.726625,I'm,0.09,
sw2519A-ms98-a-0024,A.51,108.726625,108.846625,going,0.12,
sw2519B-ms98-a-0038,B.52,108.741375,109.45175,[silence],0.710375,4
sw2519A-ms98-a-0024,A.51,108.846625,108.906625,to,0.06,
sw2519A-ms98-a-0024,A.51,108.906625,109.136625,start,0.23,
sw2519A-ms98-a-0024,A.51,109.136625,109.326625,going,0.19,
sw2519A-ms98-a-0024,A.51,109.326625,109.386625,to,0.06,
sw2519A-ms98-a-0024,A.51,109.386625,109.826625,aerobics,0.44,
sw2519B-ms98-a-0039,B.52,109.45175,110.26175,[silence],0.81,4
sw2519A-ms98-a-0024,A.51,109.826625,110.186625,now,0.36,
sw2519A-ms98-a-0024,A.51,110.186625,110.316625,you,0.13,
sw2519B-ms98-a-0039,B.52,110.26175,110.49175,There,0.23,
sw2519A-ms98-a-0024,A.51,110.316625,110.576625,know,0.26,
sw2519B-ms98-a-0039,B.52,110.49175,110.63175,you,0.14,
sw2519A-ms98-a-0024,A.53,110.576625,110.726625,and,0.15,
sw2519B-ms98-a-0039,B.52,110.63175,110.93175,go,0.3,
sw2519A-ms98-a-0024,A.53,110.726625,111.026625,[silence],0.3,4
sw2519B-ms98-a-0039,B.56,110.93175,111.358,[silence],0.42625,4
sw2519A-ms98-a-0024,A.53,111.026625,111.176625,---,0.15,
sw2519A-ms98-a-0024,A.53,111.176625,111.296625,I'll,0.12,
sw2519A-ms98-a-0024,A.53,111.296625,111.476625,go,0.18,
sw2519B-ms98-a-0040,B.56,111.358,113.227375,[silence],1.869375,4
sw2519A-ms98-a-0024,A.53,111.476625,111.596625,for,0.12,
sw2519A-ms98-a-0024,A.53,111.596625,111.786625,like,0.19,
sw2519A-ms98-a-0024,A.53,111.786625,111.976625,two,0.19,
sw2519A-ms98-a-0024,A.53,111.976625,112.296625,weeks,0.32,
sw2519A-ms98-a-0024,A.53,112.296625,112.406625,and,0.11,
sw2519A-ms98-a-0024,A.53,112.406625,112.576625,go,0.17,
sw2519A-ms98-a-0024,A.53,112.576625,112.816625,this,0.24,
sw2519A-ms98-a-0024,A.53,112.816625,112.956625,is,0.14,
sw2519A-ms98-a-0024,A.53,112.956625,113.076625,for,0.12,
sw2519A-ms98-a-0024,A.53,113.076625,113.256625,the,0.18,
sw2519B-ms98-a-0041,B.56,113.227375,113.707375,[silence],0.48,4
sw2519A-ms98-a-0024,A.53,113.256625,113.308375,[silence],0.05175,2
sw2519A-ms98-a-0025,A.53,113.308375,113.473875,[silence],0.1655,2
sw2519A-ms98-a-0025,A.53,113.473875,114.016125,birds,0.54225,
sw2519B-ms98-a-0041,B.56,113.707375,115.387375,[laughter],1.68,
sw2519A-ms98-a-0025,A.55,114.016125,114.319375,---,0.30325,
sw2519A-ms98-a-0025,A.55,114.319375,114.578375,---,0.259,
sw2519A-ms98-a-0025,A.55,114.578375,114.838375,this,0.26,
sw2519A-ms98-a-0025,A.55,114.838375,115.018375,is,0.18,
sw2519A-ms98-a-0025,A.55,115.018375,115.188375,too,0.17,
sw2519A-ms98-a-0025,A.55,115.188375,115.466875,much,0.2785,
sw2519B-ms98-a-0041,B.56,115.387375,115.783625,[silence],0.39625,4
sw2519A-ms98-a-0025,A.55,115.466875,116.230375,work,0.7635,
sw2519B-ms98-a-0042,B.56,115.783625,116.173625,[silence],0.39,2
sw2519B-ms98-a-0042,B.56,116.173625,116.363625,Well,0.19,
sw2519A-ms98-a-0025,A.57,116.230375,117.25375,[silence],1.023375,4
sw2519B-ms98-a-0042,B.56,116.363625,116.493625,you,0.13,
sw2519B-ms98-a-0042,B.56,116.493625,116.653625,know,0.16,
sw2519B-ms98-a-0042,B.56,116.653625,116.713625,I,0.06,
sw2519B-ms98-a-0042,B.56,116.713625,116.823625,have,0.11,
sw2519B-ms98-a-0042,B.56,116.823625,117.203625,noticed,0.38,
sw2519B-ms98-a-0042,B.56,117.203625,117.423625,too,0.22,
sw2519A-ms98-a-0026,A.57,117.25375,123.7655,[silence],6.51175,4
sw2519B-ms98-a-0042,B.56,117.423625,117.783625,that,0.36,
sw2519B-ms98-a-0042,B.56,117.783625,118.004125,uh,0.2205,
sw2519B-ms98-a-0042,B.56,118.004125,118.194625,[silence],0.1905,2
sw2519B-ms98-a-0042,B.56,118.194625,118.39425,---,0.199625,
sw2519B-ms98-a-0042,B.56,118.39425,118.493625,when,0.099375,
sw2519B-ms98-a-0042,B.56,118.493625,118.576875,I,0.08325,
sw2519B-ms98-a-0042,B.56,118.576875,118.859375,started,0.2825,
sw2519B-ms98-a-0042,B.56,118.859375,119.154125,the,0.29475,
sw2519B-ms98-a-0042,B.56,119.154125,119.733625,exercise,0.5795,
sw2519B-ms98-a-0042,B.56,119.733625,119.763625,uh,0.03,
sw2519B-ms98-a-0042,B.56,119.763625,119.943625,not,0.18,
sw2519B-ms98-a-0042,B.56,119.943625,120.023625,the,0.08,
sw2519B-ms98-a-0042,B.56,120.023625,120.323625,exercise,0.3,
sw2519B-ms98-a-0042,B.56,120.323625,120.413625,but,0.09,
sw2519B-ms98-a-0042,B.56,120.413625,120.473625,the,0.06,
sw2519B-ms98-a-0042,B.56,120.473625,120.913625,walking,0.44,
sw2519B-ms98-a-0042,B.56,120.913625,121.413125,program,0.4995,
sw2519B-ms98-a-0042,B.56,121.413125,121.823625,[silence],0.4105,2
sw2519B-ms98-a-0042,B.56,121.823625,122.063625,uh,0.24,
sw2519B-ms98-a-0042,B.56,122.063625,122.233625,that,0.17,
sw2519B-ms98-a-0042,B.56,122.233625,122.303625,I,0.07,
sw2519B-ms98-a-0042,B.56,122.303625,122.533625,did,0.23,
sw2519B-ms98-a-0042,B.56,122.533625,122.833625,tone,0.3,
sw2519B-ms98-a-0042,B.56,122.833625,123.023625,up,0.19,
sw2519B-ms98-a-0042,B.56,123.023625,123.123625,you,0.1,
sw2519B-ms98-a-0042,B.56,123.123625,123.233625,know,0.11,
sw2519B-ms98-a-0042,B.56,123.233625,123.4585,like,0.224875,
sw2519B-ms98-a-0042,B.56,123.4585,123.756,all,0.2975,
sw2519B-ms98-a-0042,B.56,123.756,124.113625,over,0.357625,
sw2519A-ms98-a-0027,A.57,123.7655,124.2555,[silence],0.49,4
sw2519B-ms98-a-0042,B.58,124.113625,124.393625,[silence],0.28,4
sw2519A-ms98-a-0027,A.57,124.2555,124.689375,Uh-huh,0.433875,
sw2519B-ms98-a-0042,B.58,124.393625,124.563625,but,0.17,
sw2519B-ms98-a-0042,B.58,124.563625,124.663625,it,0.1,
sw2519B-ms98-a-0042,B.58,124.663625,124.835,didn't,0.171375,
sw2519A-ms98-a-0027,A.59,124.689375,125.299,[silence],0.609625,4
sw2519B-ms98-a-0042,B.58,124.835,124.950375,get,0.115375,
sw2519B-ms98-a-0042,B.58,124.950375,125.070875,the,0.1205,
sw2519B-ms98-a-0042,B.58,125.070875,125.293625,upper,0.22275,
sw2519B-ms98-a-0042,B.58,125.293625,125.553625,part,0.26,
